#Name,Date,Ra,Dec,RaDeg,DecDeg,AlertMag,HistoricMag,HistoricStdDev,Class,PubDate,Comment,TNSid,K_s,lDeg,bDeg,base_gmag,e_gmag,Catalog,Can,Stat
Gaia21cdr,2021-05-01 07:43:47,21:05:10.74,48:05:49.24,316.29474,48.09701,16.56,16.8,0.03,-,2021-05-02 14:38:04,~0.3 mag rise in Galactic plane source,2021kvz,13.946,89.05686,0.68002,17.9462,0.0045,panstarr,-1.0,0.0
Gaia21cdl,2021-05-01 07:31:24,19:54:14.16,56:36:25.06,298.55899,56.60696,18.97,19.43,0.1,-,2021-05-02 14:33:39,~0.3 mag rise in Gaia source,2021kvv,nan,89.77345,14.36884,19.6107,0.0344,panstarr,-1.0,0.0
Gaia21cdk,2021-04-30 15:05:59,00:30:02.04,-24:37:48.79,7.5085,-24.63022,17.98,18.45,0.07,-,2021-05-02 14:32:44,~0.4 mag rise in Gaia source,2021kvu,15.726,59.16778,-84.57702,18.694,0.017,panstarr,-1.0,0.0
Gaia21ccz,2021-04-29 22:11:34,05:24:57.95,-66:42:32.29,81.24145,-66.70897,17.44,17.9,0.09,-,2021-05-01 13:39:14,~0.5 mag rise in Gaia source,2021kti,nan,276.85284,-33.26224,17.772,nan,refcat2,-1.0,0.0
Gaia21ccx,2021-04-29 05:55:44,05:04:19.51,-68:59:37.86,76.0813,-68.99385,15.89,16.22,0.08,-,2021-04-30 11:18:10,blue source in LMC rises by 0.3 mag,2021kpz,16.567,280.02088,-34.70952,16.129,nan,refcat2,-1.0,0.0
Gaia21ccw,2021-04-29 22:38:01,08:42:41.53,-57:40:22.30,130.67303,-57.67286,15.91,16.24,0.07,-,2021-04-30 11:17:50,bright  gal.plane source candidate microlensing event or Be-type outburst rises by 0.3 mag,2021kpy,12.989,274.28544,-9.39537,16.143,nan,refcat2,-1.0,0.0
Gaia21ccu,2021-04-28 18:30:41,09:31:50.90,-55:17:57.23,142.96208,-55.29923,13.88,14.31,0.05,-,2021-04-29 15:10:47,bright  gal.plane source candidate microlensing event rises by 0.4 mag,2021kpk,12.218,277.08558,-2.78053,15.064,nan,APASS,-1.0,0.0
Gaia21ccd,2021-04-27 22:51:44,10:10:20.84,-50:06:29.84,152.58685,-50.10829,15.19,15.54,0.1,-,2021-04-29 08:40:38,bright  gal.plane source candidate microlensing event or Be-type outburst rises by 0.4 mag,2021kpb,12.14,278.34293,4.9127,15.474,nan,refcat2,-1.0,0.0
Gaia21ccb,2021-04-27 16:43:53,23:51:02.65,-21:48:06.84,357.76104,-21.8019,18.6,19.48,0.18,-,2021-04-29 08:39:36,~0.6 mag rise in Gaia source,2021kpa,15.16,50.85322,-75.27501,18.8267,0.0114,panstarr,-1.0,0.0
Gaia21cbi,2021-04-25 16:16:10,08:11:33.37,-80:31:09.62,122.88903,-80.51934,17.72,18.19,0.09,-,2021-04-27 11:27:58,"~0.5 mag rise in Gaia, WISE and GALEX source",2021knl,15.34,293.21318,-23.54983,18.069,nan,refcat2,-1.0,0.0
Gaia21cbh,2021-04-25 22:10:18,05:48:11.74,-82:09:57.13,87.04891,-82.16587,18.66,19.14,0.11,-,2021-04-27 11:27:13,"~0.3 mag rise in Gaia, WISE and GALEX source",2021knk,nan,294.30808,-28.99806,18.997,nan,refcat2,-1.0,0.0
Gaia21cav,2021-04-23 19:30:49,22:58:39.47,60:27:01.40,344.66445,60.45039,16.07,16.41,0.05,-,2021-04-25 11:48:03,"gal.plane source rises by 0.3 mag, candidate microlensing event",2021kmk,12.959,109.45671,0.56336,17.6238,0.0076,panstarr,-1.0,0.0
Gaia21cak,2021-04-23 10:39:29,11:04:34.98,-60:19:37.88,166.14577,-60.32719,14.78,15.1,0.1,-,2021-04-25 11:39:58,bright gal.plane source rises by 0.3 mag candidate Be-type outburst,2021kmg,11.759,290.07364,-0.15069,15.053,nan,refcat2,-1.0,0.0
Gaia21bzx,2021-04-22 16:38:46,11:16:45.74,-60:22:03.25,169.1906,-60.36757,15.09,15.32,0.05,-,2021-04-24 16:20:34,~0.3 mag rise in Gaia source,2021klj,12.867,291.48296,0.38253,15.283,nan,refcat2,-1.0,0.0
Gaia21bzw,2021-04-23 01:30:50,23:11:22.24,59:24:11.30,347.84267,59.40314,13.92,14.43,0.1,-,2021-04-24 16:20:02,~0.5 mag rise in Gaia source,2021kli,11.158,110.49994,-1.03155,15.844,0.14,APASS,-1.0,0.0
Gaia21bzt,2021-04-22 13:20:34,23:38:08.05,69:30:52.70,354.53356,69.51464,15.78,16.07,0.09,-,2021-04-23 11:56:23,Galactic plane source rises slowly by 0.3 mag,2021kks,12.276,116.55889,7.55497,17.2866,0.0031,panstarr,-1.0,0.0
Gaia21bzr,2021-04-21 13:21:06,23:53:03.00,67:13:55.31,358.26249,67.23203,18.74,20.44,0.08,-,2021-04-23 11:55:27,almost 2 mag rise in Gaia source,2021kkq,nan,117.31346,4.99939,22.1398,0.0385,panstarr,-1.0,0.0
Gaia21bzn,2021-04-22 06:54:09,08:36:58.42,79:36:28.48,129.24343,79.60791,18.72,19.11,0.08,-,2021-04-23 11:52:52,"~0.3 mag rise in blue DSS, WISE and GALEX source",2021kko,nan,133.83583,31.32186,19.2668,0.0113,panstarr,-1.0,0.0
Gaia21bzh,2021-03-28 19:17:04,23:45:18.57,63:25:31.40,356.32736,63.42539,19.51,20.69,0.2,-,2021-04-22 11:51:56,2 mag rise in Gaia Galactic plane source,2021kkb,nan,115.61591,1.49685,nan,nan,nan,-1.0,0.0
Gaia21byz,2021-04-20 16:02:44,22:40:14.38,11:09:10.37,340.0599,11.15288,18.31,18.71,0.08,-,2021-04-22 11:43:31,~0.5 mag slow rise in Gaia source,2021kju,nan,78.81939,-40.22342,18.7914,0.0037,panstarr,-1.0,0.0
Gaia21bys,2021-04-19 20:35:39,22:15:48.16,-07:06:18.97,333.95067,-7.10527,18.6,19.29,0.13,-,2021-04-21 11:57:13,~0.6 mag rise in Gaia source,2021kis,nan,54.15318,-48.04111,19.0653,0.0202,panstarr,-1.0,0.0
Gaia21byp,2021-04-19 16:32:57,12:10:05.18,-61:40:58.87,182.52159,-61.68302,11.15,11.4,0.07,-,2021-04-21 11:53:14,"bright gal.plane source  rises by 0.2 mag, candidate microlensing event or Be-type outburst",2021kiq,10.955,298.04834,0.79601,11.375,0.041,APASS,-1.0,0.0
Gaia21bxy,2021-04-18 04:27:44,12:46:41.17,-63:14:27.10,191.67156,-63.24086,17.77,18.15,0.07,-,2021-04-19 15:13:58,~0.3 mag rise in Gaia source,2021ked,12.079,302.3971,-0.37405,18.114,nan,refcat2,-1.0,0.0
